name,street,postcode_city,address
REWE Markt GmbH,Sandweg 120-122,50827 Köln / Bickendorf,"Sandweg 120-122, 50827 Köln / Bickendorf"
REWE Markt GmbH,Sülzburgstr. 33-35,50937 Köln / Sülz,"Sülzburgstr. 33-35, 50937 Köln / Sülz"
REWE Markt GmbH,Bonner Str. 211,50968 Köln / Bayenthal,"Bonner Str. 211, 50968 Köln / Bayenthal"
REWE Markt GmbH,Höninger Weg 185,50969 Köln / Zollstock,"Höninger Weg 185, 50969 Köln / Zollstock"
REWE Markt GmbH,Lenauplatz 3,50825 Köln / Ehrenfeld,"Lenauplatz 3, 50825 Köln / Ehrenfeld"
REWE Markt GmbH,Am Weidenpesch 16,50858 Köln / Junkersdorf,"Am Weidenpesch 16, 50858 Köln / Junkersdorf"
REWE Markt GmbH,Olpener Str. 908-910,51109 Köln / Brück,"Olpener Str. 908-910, 51109 Köln / Brück"
REWE Markt GmbH,Stammheimer Str. 103-105,50735 Köln / Riehl,"Stammheimer Str. 103-105, 50735 Köln / Riehl"
REWE Markt GmbH,Dürener Str. 246-248,50931 Köln / Lindenthal,"Dürener Str. 246-248, 50931 Köln / Lindenthal"
REWE Markt GmbH,Venloer Str. 287,50823 Köln / Ehrenfeld,"Venloer Str. 287, 50823 Köln / Ehrenfeld"
REWE Markt GmbH,Buchheimer Str. 53-58,51063 Köln / Mülheim,"Buchheimer Str. 53-58, 51063 Köln / Mülheim"
REWE Markt GmbH,Frankfurter Str. 63,51065 Köln / Mülheim,"Frankfurter Str. 63, 51065 Köln / Mülheim"
REWE Markt GmbH,Luxemburger Str. 299,50939 Köln / Klettenberg,"Luxemburger Str. 299, 50939 Köln / Klettenberg"
REWE Markt GmbH,Zehnthofstr. 2,51107 Köln / Ostheim,"Zehnthofstr. 2, 51107 Köln / Ostheim"
REWE Markt GmbH,Subbelrather Str. 273-275,50825 Köln / Ehrenfeld,"Subbelrather Str. 273-275, 50825 Köln / Ehrenfeld"
REWE Markt GmbH,Kennedystr. 1,51147 Köln Flughafen,"Kennedystr. 1, 51147 Köln Flughafen"
REWE Markt GmbH,Luxemburger Str. 150,50937 Köln / Sülz,"Luxemburger Str. 150, 50937 Köln / Sülz"
REWE Markt GmbH,von-Bodelschwingh-Straße 6,51061 Köln / Höhenhaus,"von-Bodelschwingh-Straße 6, 51061 Köln / Höhenhaus"
